@relation 14_3_24h_10

@attribute SSL numeric
@attribute SLP numeric
@attribute DSLP numeric
@attribute WS numeric
@attribute WD numeric
@attribute LT numeric
@attribute LG numeric
@attribute CAP numeric
@attribute HWS numeric
@attribute SS numeric
@attribute storm_surge_predict numeric

@data
1.74,0.999842,0.0016,0.04,0.125,0.518,0.835333,0.908193,0.488722,0.1,0.12
1.7,0.999921,0.0008,0.0398,0.1375,0.518,0.835333,0.908193,0.488722,0.08,0.14
1.64,0.999763,0.0024,0.038,0.1375,0.526,0.836,0.913129,0.488722,0.07,0.13
1.58,0.999941,0.0006,0.0308,0.1625,0.526,0.836,0.913129,0.488722,0.06,0.14
1.53,1.000118,-0.0012,0.0298,0.175,0.526,0.836,0.913129,0.488722,0.07,0.16
1.48,1.000316,-0.0032,0.0232,0.2125,0.54,0.837333,0.918065,0.488722,0.05,0.18
1.46,0.999961,0.0004,0.0236,0.15,0.54,0.837333,0.918065,0.488722,0.05,0.2
1.48,0.999783,0.0022,0.0162,0.1125,0.54,0.837333,0.918065,0.488722,0.06,0.24
1.5,0.999467,0.0054,0.0216,0.3,0.556,0.838,0.923001,0.463,0.05,0.26
1.53,0.999171,0.0084,0.018,0.25,0.556,0.838,0.923001,0.463,0.05,0.27
1.57,0.998717,0.013,0.0182,0.25,0.556,0.838,0.923001,0.463,0.05,0.29
1.61,0.998223,0.018,0.0292,0.25,0.568,0.838667,0.923001,0.463,0.06,0.3
1.63,0.998223,0.018,0.0216,0.3875,0.568,0.838667,0.923001,0.463,0.06,0.31
1.64,0.998263,0.0176,0.0188,0.4,0.568,0.838667,0.923001,0.463,0.06,0.34
1.62,0.998618,0.014,0.0192,0.475,0.59,0.840667,0.923001,0.463,0.06,0.36
1.59,0.9985,0.0152,0.0144,0.3625,0.59,0.840667,0.923001,0.463,0.06,0.37
1.56,0.997947,0.0208,0.032,0.3,0.59,0.840667,0.923001,0.463,0.06,0.39
1.56,0.997887,0.0214,0.02,0.35,0.61,0.843333,0.918065,0.488722,0.08,0.43
1.57,0.997611,0.0242,0.031,0.4,0.61,0.843333,0.918065,0.488722,0.1,0.46
1.58,0.997374,0.0266,0.0286,0.4375,0.61,0.843333,0.918065,0.488722,0.1,0.48
1.61,0.997117,0.0292,0.0396,0.4,0.61,0.843333,0.918065,0.488722,0.1,0.5
1.65,0.996762,0.0328,0.0308,0.45,0.61,0.843333,0.918065,0.488722,0.1,0.53
1.69,0.996111,0.0394,0.032,0.425,0.61,0.843333,0.918065,0.488722,0.11,0.55
1.72,0.995341,0.0472,0.0344,0.3625,0.654,0.847333,0.923001,0.463,0.11,0.56
1.75,0.99463,0.0544,0.0336,0.4125,0.654,0.847333,0.923001,0.463,0.12,0.57
1.76,0.99384,0.0624,0.0356,0.425,0.654,0.847333,0.923001,0.463,0.14,0.58
1.73,0.993564,0.0652,0.034,0.35,0.678,0.85,0.932873,0.411556,0.13,0.59
1.69,0.992695,0.074,0.0388,0.3875,0.678,0.85,0.932873,0.411556,0.14,0.61
1.66,0.993189,0.069,0.0414,0.4625,0.678,0.85,0.932873,0.411556,0.16,0.63
1.64,0.992142,0.0796,0.0406,0.4125,0.698,0.855333,0.942744,0.385833,0.18,0.62
1.63,0.99157,0.0854,0.0342,0.5,0.698,0.855333,0.942744,0.385833,0.2,0.59
1.67,0.990523,0.096,0.0478,0.4625,0.698,0.855333,0.942744,0.385833,0.24,0.55
1.71,0.989753,0.1038,0.052,0.4625,0.698,0.855333,0.942744,0.385833,0.26,0.5
1.75,0.988924,0.1122,0.0656,0.45,0.698,0.855333,0.942744,0.385833,0.27,0.48
1.8,0.988312,0.1184,0.0592,0.4875,0.698,0.855333,0.942744,0.385833,0.29,0.45
1.84,0.987562,0.126,0.087,0.5125,0.74,0.865333,0.957552,0.308667,0.3,0.41
1.88,0.987502,0.1266,0.0854,0.5125,0.74,0.865333,0.957552,0.308667,0.31,0.37
1.92,0.987562,0.126,0.0926,0.5375,0.74,0.865333,0.957552,0.308667,0.34,0.33
1.93,0.987976,0.1218,0.0936,0.5625,0.74,0.865333,0.957552,0.308667,0.36,0.3
1.91,0.989062,0.1108,0.1028,0.5625,0.74,0.865333,0.957552,0.308667,0.37,0.27
1.89,0.989812,0.1032,0.1172,0.6,0.74,0.865333,0.957552,0.308667,0.39,0.25
1.9,0.991076,0.0904,0.1032,0.575,0.782,0.878667,0.962488,0.282944,0.43,0.26
1.92,0.992083,0.0802,0.0948,0.6,0.782,0.878667,0.962488,0.282944,0.46,0.24
1.94,0.992596,0.075,0.097,0.6,0.782,0.878667,0.962488,0.282944,0.48,0.21
1.98,0.993031,0.0706,0.0778,0.625,0.782,0.878667,0.962488,0.282944,0.5,0.19
2.04,0.993149,0.0694,0.0746,0.625,0.782,0.878667,0.962488,0.282944,0.53,0.18
2.09,0.993761,0.0632,0.0966,0.675,0.782,0.878667,0.962488,0.282944,0.55,0.16
2.14,0.994393,0.0568,0.0754,0.7,0.81,0.897333,0.967423,0.257222,0.56,0.15
2.17,0.995183,0.0488,0.0838,0.675,0.81,0.897333,0.967423,0.257222,0.57,0.13
2.19,0.995992,0.0406,0.0744,0.75,0.81,0.897333,0.967423,0.257222,0.58,0.12
2.19,0.996703,0.0334,0.0488,0.775,0.83,0.912667,0.967423,0.257222,0.59,0.1
2.18,0.997335,0.027,0.0438,0.75,0.83,0.912667,0.967423,0.257222,0.61,0.08
2.16,0.997907,0.0212,0.037,0.7125,0.83,0.912667,0.967423,0.257222,0.63,0.07
2.11,0.998519,0.015,0.0234,0.675,0.846,0.920667,0.967423,0.257222,0.62,0.07
2.05,0.998519,0.015,0.0318,0.725,0.846,0.920667,0.967423,0.257222,0.59,0.09
